REVIEW_ID,GAME_KEY,REVIEW_DATE,REVIEW_LANGUAGE,IS_POSITIVE,VOTES_UP,VOTES_FUNNY,PLAYTIME_AT_REVIEW_HRS,STEAM_PURCHASE,WRITTEN_DURING_EARLY_ACCESS,REVIEW_LENGTH_CHARS
229662963,730,2026-07-05,english,TRUE,987,0,253.2,TRUE,FALSE,28
229609945,730,2026-07-04,turkish,FALSE,825,134,279.6,TRUE,FALSE,25
229523316,730,2026-07-03,turkish,TRUE,445,97,425.4,TRUE,FALSE,36
229608750,550,2026-07-04,english,TRUE,26,1,17.9,TRUE,FALSE,2279
229548650,2868840,2026-07-03,japanese,FALSE,25,2,142.4,TRUE,TRUE,2065
229556367,250900,2026-07-03,russian,TRUE,18,1,191.8,TRUE,FALSE,98
229514417,3405690,2026-07-03,english,FALSE,15,0,8.4,TRUE,FALSE,2666
229586212,3241660,2026-07-04,german,TRUE,12,0,51.2,FALSE,TRUE,3364
229569246,3321460,2026-07-04,russian,FALSE,10,0,260.7,TRUE,FALSE,6529
229511995,2868840,2026-07-03,schinese,FALSE,9,0,161.3,TRUE,TRUE,1122
229635400,1091500,2026-07-04,japanese,TRUE,9,1,42.1,TRUE,FALSE,459
229545579,1808500,2026-07-03,english,FALSE,9,0,57.6,TRUE,FALSE,869
229584188,1144200,2026-07-04,schinese,TRUE,9,1,2.3,FALSE,FALSE,54
229543163,1808500,2026-07-03,english,FALSE,8,1,287.2,TRUE,FALSE,32
229519816,3105440,2026-07-03,english,FALSE,8,0,169.1,TRUE,TRUE,1422
229524519,3105440,2026-07-03,english,FALSE,7,0,4.3,FALSE,TRUE,70
229535616,2868840,2026-07-03,english,FALSE,6,0,151.8,TRUE,TRUE,5413
229598367,2073620,2026-07-04,russian,FALSE,6,0,496.2,TRUE,FALSE,882
229638379,3321460,2026-07-04,turkish,TRUE,6,1,69.1,FALSE,FALSE,56
229609868,1808500,2026-07-04,english,FALSE,6,0,415.1,TRUE,FALSE,132
229550249,553850,2026-07-03,english,FALSE,6,0,951.6,TRUE,FALSE,17
229565666,2767030,2026-07-03,english,FALSE,6,1,166.4,TRUE,FALSE,317
229608702,594650,2026-07-04,english,FALSE,6,0,972.0,TRUE,FALSE,583
229531731,236390,2026-07-03,english,FALSE,6,0,207.5,TRUE,FALSE,40
229590891,2868840,2026-07-04,japanese,FALSE,6,0,323.4,FALSE,TRUE,165
229608724,4000,2026-07-04,english,TRUE,6,0,2776.3,TRUE,FALSE,69
229587575,2767030,2026-07-04,english,TRUE,6,0,67.9,TRUE,FALSE,695
229622142,739630,2026-07-04,english,FALSE,6,0,258.9,TRUE,TRUE,117
229601556,594650,2026-07-04,english,FALSE,6,1,5.9,TRUE,FALSE,258
229550093,553850,2026-07-03,english,FALSE,6,0,182.2,FALSE,FALSE,8
229529332,1808500,2026-07-03,english,FALSE,6,1,112.8,TRUE,FALSE,40
229545289,236390,2026-07-03,english,FALSE,5,0,1902.8,TRUE,FALSE,684
229654234,1808500,2026-07-04,english,FALSE,5,0,277.6,TRUE,FALSE,552
229618517,3041230,2026-07-04,russian,TRUE,5,0,54.1,FALSE,TRUE,31
229610866,1808500,2026-07-04,english,FALSE,5,0,755.8,TRUE,FALSE,161
229595187,1808500,2026-07-04,english,FALSE,5,0,252.7,TRUE,FALSE,456
229546951,1808500,2026-07-03,english,FALSE,5,0,133.3,TRUE,FALSE,807
229531557,236390,2026-07-03,english,FALSE,5,0,4.2,TRUE,FALSE,144
229531286,2868840,2026-07-03,schinese,FALSE,5,1,135.5,TRUE,TRUE,12
229611778,108600,2026-07-04,english,FALSE,5,2,792.7,TRUE,TRUE,2518
229541803,2868840,2026-07-03,schinese,FALSE,5,1,211.4,FALSE,TRUE,24
229594943,1808500,2026-07-04,english,FALSE,5,0,384.2,TRUE,FALSE,66
229619147,3105440,2026-07-04,english,FALSE,5,0,22.1,TRUE,TRUE,518
229590370,1808500,2026-07-04,english,FALSE,5,1,161.4,TRUE,FALSE,56
229630630,1808500,2026-07-04,russian,FALSE,5,2,505.8,FALSE,FALSE,1798
229520672,3527290,2026-07-03,english,FALSE,5,0,5.1,TRUE,FALSE,424
229611911,431960,2026-07-04,schinese,FALSE,5,0,1223.1,TRUE,FALSE,30
229533262,2868840,2026-07-03,schinese,FALSE,5,0,851.7,TRUE,TRUE,2119
229568964,1808500,2026-07-04,english,FALSE,5,0,46.4,TRUE,FALSE,132
229528340,1808500,2026-07-03,english,FALSE,5,0,1694.9,TRUE,FALSE,276
229525968,1808500,2026-07-03,english,FALSE,5,0,66.0,TRUE,FALSE,33
229607495,739630,2026-07-04,english,FALSE,5,0,147.2,TRUE,TRUE,962
229598391,1808500,2026-07-04,english,FALSE,5,0,329.3,TRUE,FALSE,768
229627476,739630,2026-07-04,english,FALSE,5,0,266.0,TRUE,TRUE,569
229608052,739630,2026-07-04,english,FALSE,4,0,666.5,TRUE,TRUE,573
229611988,3527290,2026-07-04,english,FALSE,4,1,6.7,TRUE,FALSE,15
229607271,813780,2026-07-04,schinese,FALSE,4,0,541.5,FALSE,FALSE,672
229579675,1203220,2026-07-04,schinese,FALSE,4,0,7.5,TRUE,FALSE,4
229531797,1808500,2026-07-03,english,FALSE,4,0,32.6,FALSE,FALSE,129
229525536,2868840,2026-07-03,schinese,FALSE,4,0,118.5,TRUE,TRUE,87
229586492,431960,2026-07-04,schinese,TRUE,4,0,1181.2,TRUE,FALSE,907
229624339,1086940,2026-07-04,turkish,TRUE,4,0,106.2,TRUE,FALSE,446
229598262,2868840,2026-07-04,schinese,FALSE,4,0,324.4,TRUE,TRUE,203
229544760,3105440,2026-07-03,english,FALSE,4,0,3.9,TRUE,TRUE,236
229543556,2868840,2026-07-03,schinese,FALSE,4,0,139.1,TRUE,TRUE,46
229525492,3513350,2026-07-03,tchinese,TRUE,4,0,5.9,TRUE,FALSE,13
229603647,381210,2026-07-04,brazilian,TRUE,4,0,189.7,TRUE,FALSE,110
229628655,1808500,2026-07-04,english,FALSE,4,0,505.5,FALSE,FALSE,5317
229617545,739630,2026-07-04,english,FALSE,4,0,279.0,FALSE,TRUE,732
229587078,108600,2026-07-04,brazilian,TRUE,4,0,20.9,TRUE,TRUE,744
229549554,553850,2026-07-03,english,FALSE,4,0,910.1,TRUE,FALSE,553
229575403,553850,2026-07-04,english,FALSE,4,1,422.4,TRUE,FALSE,726
229537402,236390,2026-07-03,english,FALSE,4,0,582.6,TRUE,FALSE,24
229622805,2807960,2026-07-04,english,FALSE,4,0,38.1,TRUE,FALSE,498
229526801,261550,2026-07-03,english,FALSE,4,0,359.6,TRUE,FALSE,233
229551118,1808500,2026-07-03,english,FALSE,4,0,195.7,TRUE,FALSE,105
229605966,739630,2026-07-04,russian,FALSE,4,0,151.0,FALSE,TRUE,332
229529996,3241660,2026-07-03,english,TRUE,4,2,69.4,TRUE,TRUE,952
229606594,381210,2026-07-04,english,FALSE,4,1,1312.2,TRUE,FALSE,112
229628413,1808500,2026-07-04,english,FALSE,4,1,230.5,TRUE,FALSE,802
229587041,1808500,2026-07-04,english,FALSE,4,0,440.2,TRUE,FALSE,1241
229617512,1808500,2026-07-04,english,FALSE,4,1,719.4,TRUE,FALSE,168
229538127,2868840,2026-07-03,schinese,FALSE,4,0,108.3,TRUE,TRUE,9
229564739,553850,2026-07-03,english,FALSE,4,0,496.6,TRUE,FALSE,427
229578396,2807960,2026-07-04,english,FALSE,4,0,5.6,TRUE,FALSE,18
229512971,3764200,2026-07-03,english,TRUE,4,0,19.7,TRUE,FALSE,662
229607977,2807960,2026-07-04,english,FALSE,4,0,0.4,TRUE,FALSE,320
229600781,1449850,2026-07-04,japanese,FALSE,4,0,2266.9,TRUE,FALSE,58
229560776,261550,2026-07-03,schinese,FALSE,4,2,2.2,TRUE,FALSE,7
229532299,1808500,2026-07-03,english,FALSE,4,0,1200.9,TRUE,FALSE,29
229553463,553850,2026-07-03,english,FALSE,4,0,173.3,TRUE,FALSE,116
229617663,553850,2026-07-04,english,FALSE,4,0,123.5,TRUE,FALSE,135
229608200,1808500,2026-07-04,english,FALSE,4,1,900.3,FALSE,FALSE,45
229559483,2807960,2026-07-03,english,FALSE,4,0,90.5,TRUE,FALSE,2480
229620977,1808500,2026-07-04,english,FALSE,4,0,545.6,TRUE,FALSE,60
